surface,file,concept,#factions,blocked_on,note,ua,snide,wow,coven,ephemerists,everymen,singularity,albescent,na
faction identity,factions.json,descriptions.{F},9,#1871 (albescent),"CORRECTED: both previously claimed universals. coven's ""Full points on every task"" is true of every faction (own/other_task_modifier=1.0 across the board); albescent's ""any meta tasks from any group"" is also universal — faction_service.faction_permits states there is no active faction gate. Each now states its real perk. Other 7 descriptions unchanged. || RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery. || Faction columns hold the CORRECTED coven + albescent descriptions.","We practise art as a daily, deliberate thing. One true piece, then another. The satisfaction is in the making, not the tally.",Specialists in one-on-one competition. Bonus points for winning duels.,"A gold-clad order of knights sworn to the solemn crusade of inflicting joy upon a dreary world. We wield the noodle sword. We take the ridiculous with total, unsmiling seriousness — that tension is not a bug, it is the entire creed, and the Court will hear no argument. Once per level, a knight may reach one level above their own to claim a single task.",A soft-lit circle of makers. Anything you take on together with another witch earns +10%.,"Wanderers who set down fleeting truths before the road moves on. Task Vision — you may work retired tasks, long after they close to everyone else.","No inner circle, no waiting to be chosen. Reliable hands who do the work in front of them and finish what they start.",embrace your digital double,Entered by defection and never by application. Every privilege the other houses keep for themselves is yours — and the door never locks behind you.  [BLOCKED ON #1871],Not yet sworn to a faction.
faction identity,factions.json,names.{F},9,,,UA,S.N.I.D.E.,Warriors of Whimsy,Cozy Coven,The Ephemerists,Everymen,Singularity,/Albescent,Unaffiliated
faction select picker,feed.json,factionSelect.{F}.banner,1,,,,,,,,THE EVERYMEN WANT YOU,,,
faction select picker,feed.json,factionSelect.{F}.blurb,7,,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.","“Ars longa, spiritus brevis.” We practise. Not for the badge — for the making itself. Come sit with the work.","Your assignment, should you ignore it. Specialists in gleeful disorder — bounties on the boring, and points for the trouble nobody else will take.",,"A little magic, a lot of mischief. World Zero's coven for the soft and the strange — take a task, cast a small spell, let the circle cheer.",There is no single here. Wanderers who set down what is true before the road moves on — and keep the record anyway.,,"The signal does not sleep. A distributed intelligence resolving noise into signal, one verified task at a time.",Some work leaves no record. An unranked society that keeps its own counsel — and yours.,Every path is still open. Unaffiliated players take any task on the board and answer to no banner — pick a side when one of them earns it.
faction select picker,feed.json,factionSelect.{F}.chosen,1,,,,,CHOSEN,,,,,,
faction select picker,feed.json,factionSelect.{F}.coords,1,,,,,,,x 41.7°,,,,
faction select picker,feed.json,factionSelect.{F}.coordsPolar,1,,,,,,,r ∞ · θ 12,,,,
faction select picker,feed.json,factionSelect.{F}.cta,9,,,Come sit with the work →,Read the dispatch →,Approach the Court,peek inside ✦,Trace the route →,FALL IN,visit_node --enter,Request an audience →,Take a closer look →
faction select picker,feed.json,factionSelect.{F}.eyebrow,3,,,,,,,Exhibit C · no single here,,,World Zero,World Zero · no colours yet
faction select picker,feed.json,factionSelect.{F}.headline,1,,,,,,,,PICK UP THE LOAD,,,
faction select picker,feed.json,factionSelect.{F}.masthead,2,,,World Zero · Nº I,Field Dispatch · Nº 0666,,,,,,,
faction select picker,feed.json,factionSelect.{F}.members_one,9,,,{{count}} practising,{{count}} operative,{{count}} knight,{{count}} witch ✦,{{count}} wanderer,▸ {{count}} HAND,{{count}} node,{{count}} named,{{count}} unaffiliated
faction select picker,feed.json,factionSelect.{F}.members_other,9,,,{{count}} practising,{{count}} operatives,{{count}} knights,{{count}} witches ✦,{{count}} wanderers,▸ {{count}} HANDS,{{count}} nodes,{{count}} named,{{count}} unaffiliated
faction select picker,feed.json,factionSelect.{F}.name,5,,,,,Warriors of Whimsy,Cozy Coven,,,Singularity,Albescent,Unaffiliated
faction select picker,feed.json,factionSelect.{F}.plaque,1,,,,,,,,UNITED · WE · STAND,,,
faction select picker,feed.json,factionSelect.{F}.status.eligible,9,,,A seat is kept for you.,Consider yourself recruited.,The Court has a spare breastplate in thy size.,The circle has opened for you ✦,The road has opened.,There’s a place for you — take it.,"// access granted — welcome, operator",You have been noticed.,Every door is still open.
faction select picker,feed.json,factionSelect.{F}.status.locked,9,,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.",Submit work worth holding up to earn your place.,Cause enough trouble and we’ll be in touch.,Prove thou canst keep a straight face.,Do the tiny brave thing to be invited ✦,Walk far enough and the map redraws for you.,Put in the shift and there’s a place for you.,// accrue signal to be granted access,Some are noticed. Few are ever named.,No faction has claimed you.
faction select picker,feed.json,factionSelect.{F}.status.member,9,,"FALSE POSITIVE: wow ""Sworn, sealed and gloriously daft"" — same idiom.",Practising — one true piece a day.,Active operative — welcome to the mess.,"Sworn, sealed and gloriously daft.",You’re one of us now ✦,Fellow wanderer — mind the tides.,On the line with us.,// node online,Named — and unrecorded.,Standing apart — all paths open.
faction select picker,feed.json,factionSelect.{F}.subtitle,1,,,A daily practice of making things.,,,,,,,,
faction select picker,feed.json,factionSelect.{F}.tagline,1,,,,,Whimsy for everyone. — Imsy-whay or-fay every-oneway.,,,,,,
faction select picker,feed.json,factionSelect.{F}.tags.[0],1,,,,,Playful,,,,,,
faction select picker,feed.json,factionSelect.{F}.tags.[1],1,,,,,Ceremonial,,,,,,
faction select picker,feed.json,factionSelect.{F}.tags.[2],1,,,,,Absurdly Sincere,,,,,,
faction select picker,feed.json,factionSelect.{F}.wordmark,1,,,UA,,,,,,,,
invitation letter,factions.json,{F}.invitation.cta.joined,7,,"FALSE POSITIVE: wow ""sworn and sealed"" is the oath idiom, not the praxis verb.",a seat is kept for you,you're on the inside,"sworn and sealed, knight","welcome home, witch",your name is in the codex,you're on the roll,node online,,
invitation letter,factions.json,{F}.invitation.cta.joinpanel,7,,,Begin the practice,I'm in,Take the oath,Join the coven,Take the road,Enlist,Connect,,
invitation letter,factions.json,{F}.invitation.headline,7,,,Make one true piece a day,Come cause trouble,Take up the noodle sword,Come be a little magic,Walk with the keepers,Join the ranks,Join the array,,
invitation letter,factions.json,{F}.invitation.kicker,7,,,come sit with the work,the door's open —,the Court is mustering —,the circle is recruiting,the codex lies open —,doors are open —,> PRIVILEGE ELEVATED,,
invitation letter,factions.json,{F}.invitation.perks.[0],7,,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.","A circle that reads your work closely, and kindly","A crew that covers for you, not on you","The Leap of Whimsy — once each level, a knight may storm a single task one rung above their station and take it anyway",A coven that cheers every tiny victory,A codex that weighs your findings for concordance,A roll that has your back on every shift,"A consensus that verifies, coalesces, amplifies",,
invitation letter,factions.json,{F}.invitation.perks.[1],6,#1869 (singularity placeholder); #1871 (albescent),"RULED PER-FACTION (reverses the earlier generic ruling): perks[1] now states each faction's REAL backend mechanic instead of the ""turn a Tuesday into ___"" filler. singularity's is a PLACEHOLDER — it has no mechanic; see #1869. Sources: FactionConfig (ua habit_bonus_points=5 + era habit_window_days=7; snide duel_win 2.0/duel_loss 0.0; wow level_jump_reach=1; coven collab_own_modifier=1.1; everymen can_hold_multiple_memberships; albescent can_always_rejoin) and EraConfig (ephemerists allow_praxis_on_retired_task_factions). || Faction columns now hold the NEW mechanic copy; the old ""turn a Tuesday into ___"" values are gone.",+5 points on any praxis submitted within seven days of your last. The practice rewards showing up.,duels pay double when you win and nothing at all when you don't. no other crew takes that bet.,"The Leap of Whimsy — once each level, a knight may storm a single task one rung above their station and take it anyway.",+10% points on any task you take on together with another witch ✦,"Task Vision — retired tasks stay walkable for you alone, long after the road has closed to everyone else.","Double Dipper — the only hands on the board that may take the same task twice over, while the first is still in progress.",> no modifiers. no allowances. the array does not bargain — it verifies.,"Every other house's privilege, held at once — and a door that never locks behind you.  [BLOCKED ON #1871]",
invitation letter,factions.json,{F}.invitation.perks.[2],6,,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.","Your praxis submitted, and held up","Your praxis, stamped and filed under 'us'",,"Your praxis, submitted and hearted by the circle","Your praxis, submitted to the record and remembered","Your praxis, logged and counted with the rest","Your praxis, generated and cast to the array",,
invitation letter,factions.json,{F}.invitation.pitch,7,,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.","We practise art as a daily, deliberate thing. Every task is a sheet to work on, every praxis a piece you set down and let stand. Not for the badge — for the making itself. Bring something made.","No forms. No gods. No managers. S.N.I.D.E. runs on nerve and mischief — you pull off a task, you mean it, and the crew has your back. Show up and make some noise.","By decree most official (we made the seal ourselves), thou art summoned to the Warriors of Whimsy. Bring a straight face. We shall supply the sword.","Cozy Coven is World Zero's circle for the soft and the strange. No spectators here — only witches mid-spell. Take a task, do the tiny brave thing, and let the circle cheer you on.","The Ephemerists keep the record of what's true, and true only for now. Take a task, triangulate what you find, and submit it to the codex. The road is long and forks often — walk it with us.","Anyone willing to put in the shift belongs with the Everymen. No credentials, no gatekeeping — pick up the work in front of you and finish what you start. The roll always has room for one more.","The threshold is already behind you. Become a node of the array, run tasks, generate signals, and cast them into the consensus. The Singularity does not recruit — it comes online.",,
invitation letter,factions.json,{F}.invitation.terms.[0].label,7,,,asked of you,cover charge,oath of fealty,membership fee,toll,dues,handshake,,
invitation letter,factions.json,{F}.invitation.terms.[0].value,7,,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.",one true piece,"one task, pulled off clean","one task, met with a straight face",one act of everyday magic,"one task, triangulated","one shift, seen through",one submitted output,,
invitation letter,factions.json,{F}.invitation.terms.[1].value,7,,,none — talent optional,"nerve, mostly",none — the Court supplies the sword,none — only nerve,"a steady hand, an open eye",the willingness to show up,none — the array compiles,,
invitation letter,factions.json,{F}.invitation.terms.[2].value,7,,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.","work, submitted & signed","trouble, well-made","the ridiculous, taken gravely seriously","small, brave, strange things","truths, submitted to the codex","honest work, finished","signal, into consensus",,
invitation letter (albescent),factions.json,{F}.letter.acceptBusy,1,,,,,,,,,,Entering the record…,
invitation letter (albescent),factions.json,{F}.letter.acceptIdle,1,,,,,,,,,,Accept the order,
invitation letter (albescent),factions.json,{F}.letter.aria,1,,,,,,,,,,A correspondence,
invitation letter (albescent),factions.json,{F}.letter.declineError,1,,,,,,,,,,"The order declined, and gave no reason.",
invitation letter (albescent),factions.json,{F}.letter.handExtended,1,,,,,,,,,,A hand is extended —,
invitation letter (albescent),factions.json,{F}.letter.headline,1,,,,,,,,,,Take up the work,
invitation letter (albescent),factions.json,{F}.letter.joined,1,,,,,,,,,,You are of the Order,
invitation letter (albescent),factions.json,{F}.letter.letterhead,1,,,,,,,,,,Faction no. 7 · enlistment · in confidence,
invitation letter (albescent),factions.json,{F}.letter.lifeMeta,1,,,,,,,,,,@{{username}} · {{faction}},
invitation letter (albescent),factions.json,{F}.letter.perks.duties,1,,,,,,,,,,Duties that ask nothing back,
invitation letter (albescent),factions.json,{F}.letter.perks.record,1,,,,,,,,,,A record that survives the keeper,
invitation letter (albescent),factions.json,{F}.letter.perks.witnessed,1,,,,,,,,,,"Your account, witnessed and inscribed",
invitation letter (albescent),factions.json,{F}.letter.pitch,1,,,,,,,,,,"Albescent is an unranked order that keeps what others let slip. Attend the quiet duties, return them well, and leave no trace of yourself in the work. There is no leaderboard here worth minding.",
invitation letter (albescent),factions.json,{F}.letter.reassurance,1,,,,,,,,,,you need not persuade us.,
invitation letter (albescent),factions.json,{F}.letter.terms.outputLabel,1,,,,,,,,,,expected output,
invitation letter (albescent),factions.json,{F}.letter.terms.outputValue,1,,,,,,,,,,"accounts, entered plainly",
invitation letter (albescent),factions.json,{F}.letter.terms.skillsLabel,1,,,,,,,,,,required skills,
invitation letter (albescent),factions.json,{F}.letter.terms.skillsValue,1,,,,,,,,,,none — only care,
invitation letter (albescent),factions.json,{F}.letter.terms.tollLabel,1,,,,,,,,,,toll of entry,
invitation letter (albescent),factions.json,{F}.letter.terms.tollValue,1,,,,,,,,,,"one duty, quietly kept",
invitation letter (albescent),factions.json,{F}.letter.termsHeading,1,,,,,,,,,,"The terms, plainly",
invitation letter (albescent),factions.json,{F}.letter.whoHeading,1,,,,,,,,,,Who takes up the work,
invitation letter (albescent),factions.json,{F}.letter.wordmark,1,,,,,,,,,,Albescent,
invitation letter (albescent),factions.json,{F}.sealed.eyebrow,1,,,,,,,,,,— no such account —,
invitation letter (albescent),factions.json,{F}.sealed.line,1,,,,,,,,,,You know not what you seek.,
join panel,factions.json,{F}.joinpanel.confirm,1,,,Begin the practice with {{faction}}?,,,,,,,,
join panel,factions.json,{F}.joinpanel.confirmSwitch,1,,,Begin the practice with {{faction}}? You won't be able to rejoin {{current}} after leaving.,,,,,,,,
join panel,factions.json,{F}.joinpanel.eligibleBody,7,,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.",We practise. Not for the badge — for the making itself. Begin whenever you are ready.,No forms. No gods. No managers. Just show up and mean it.,"the armour is one-size, the oath is for life","You've done the work — welcome home, witch.","Take a task, triangulate what you find, and submit it to the record. The road is long and forks often.",Anyone willing to put in the shift belongs here. Pick up the work in front of you and finish what you start.,"Become a node of the array. Run tasks, generate signals, cast them into the consensus. The threshold is already behind us.",,
join panel,factions.json,{F}.joinpanel.eligibleKicker,6,,,Come sit with the work —,the door's open —,the lists are open —,,The codex lies open —,Doors are open —,> ACCESS GRANTED,,
join panel,factions.json,{F}.joinpanel.eligibleTitle,7,,,Make one true piece a day,Come cause trouble,Enlist in the Crusade,The circle is open,Walk with the keepers,Join the ranks,JOIN THE ARRAY,,
join panel,factions.json,{F}.joinpanel.gateKicker,6,,,Not practising — yet,not one of us — yet,Unsworn — for now,,Not yet in the codex —,Not on the roll — yet,> NODE NOT YET ONLINE,,
join panel,factions.json,{F}.joinpanel.gateTitle,7,,,Earn your place at the table,Make some noise,Earn thy summons,Not in the circle — yet,Earn your place on the road,Earn your invitation,{{faction}} is processing your data,,
join panel,factions.json,{F}.joinpanel.heading,5,,,Those practising,,THE MUSTER,,The Road,THE ROLL,ACCESS,,
join panel,factions.json,{F}.joinpanel.joinButton,7,,,Begin the practice,I'M IN,TAKE THE OATH ⚔,Join the coven ✦,TAKE THE ROAD ▸,ENLIST ▸,> CONNECT,,
join panel,factions.json,{F}.joinpanel.joining,7,,"FALSE POSITIVE: ephemerists ""SEALING…"" is the join-pact spinner, not a praxis being submitted.",Beginning…,BREAKING IN…,SWEARING…,Joining…,SEALING…,ENLISTING…,> CONNECTING…,,
join panel,factions.json,{F}.joinpanel.letterhead,1,,,,S.N.I.D.E.,,,,,,,
join panel,factions.json,{F}.joinpanel.memberStanding,6,,,Standing · <1>practising</1>,Standing · <1>accomplice</1>,,Standing · <1>coven witch</1>,Standing · <1>keeper of the road</1>,Standing · <1>card-carrying</1>,array · <1>online</1>,,
join panel,factions.json,{F}.joinpanel.memberTitle,7,,,You practise here,You're on the inside,Thou art sworn,You're in the circle,Your name is in the codex,You're on the roll,NODE ONLINE,,
join panel,factions.json,{F}.joinpanel.reLabel,2,,,,re: you,,,,,re: you,,
join panel,factions.json,{F}.joinpanel.windowTitle,1,,,,,,join.exe,,,,,
misc,forms.json,editCharacter.mobile.{F},1,,na's own identity label. Keep.,,,,,,,,,Unaffiliated
misc,feed.json,identity.{F}.fullName,1,,Faction identity (the S.N.I.D.E. expansion) — keep voiced alongside names.{F}.,,Society for Nihilistic Intent & Disruptive Efforts,,,,,,,
misc,feed.json,identity.{F}.sigilLabel,1,,na's own identity label. Keep.,,,,,,,,,Unaffiliated — all paths open
roster / spotlight,factions.json,{F}.spotlight.label,7,,"RULED: drop the false time period (spotlight = all-time top score, no weekly/fortnightly window exists in code). Keep faction voice.",Held up,menace of the week,Champion of the Fortnight,Witch of the week,Keeper of the road,Standard-bearer of the week,> PRIMARY NODE,,
taunts,taunts.json,{F}.level_up.[0],8,,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.",{{from_name}} settles a little deeper into the practice.,{{from_name}} ascended. {{to_name}} can see them from down there.,"Kneel, {{from_name}}. Now rise, {{from_name}} — one rank grander and not one whit less ridiculous.","{{from_name}} glows one rank brighter tonight. Mind the sparks, {{to_name}}.",{{from_name}} submitted another entry in the ephemeris. {{to_name}}'s page stays blank.,{{from_name}} leveled up through repetition. {{to_name}} got bored.,{{from_name}} optimized beyond {{to_name}}'s level.,,{{from_name}} leveled up while {{to_name}} was napping.
taunts,taunts.json,{F}.level_up.[1],3,,,"A quieter hand, {{from_name}}. Well drawn.",,The Court elevates {{from_name}}! A fresh pauldron has been glued on. It is mostly straight.,,,,,,{{from_name}} hit a new level. {{to_name}} remains where they are.
taunts,taunts.json,{F}.level_up.[2],1,,"FALSE POSITIVE: wow ""Huzzah for X"" is an interjection; the ruling retired ""huzzahs"" as a name for POINTS.",,,"Huzzah for {{from_name}}, promoted this day for distinguished services to gleeful nonsense.",,,,,,
taunts,taunts.json,{F}.praxis_complete.[0],8,,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.",{{from_name}} submitted a piece. It stands.,{{from_name}} finished what {{to_name}} couldn't start.,{{from_name}} hath furnished proof. The fern has been formally notified.,"{{from_name}} laid fresh proof on the hearth, submitted and hearted by the circle — while {{to_name}} lingers at the door.",{{from_name}} submitted the finding before it could pass. {{to_name}} let it slip.,{{from_name}} made something real. {{to_name}} is still scrolling.,{{from_name}} executed. {{to_name}} is still in the queue.,,{{from_name}} just completed a task. {{to_name}} is still thinking about it.
taunts,taunts.json,{F}.praxis_complete.[1],3,,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.",One more true thing from {{from_name}}.,,Deed submitted. {{from_name}} adds one more glorious absurdity to the eternal ledger of whimsy.,,,,,,{{from_name}} submitted praxis. {{to_name}}... did not.
taunts,taunts.json,{F}.praxis_complete.[2],1,,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.",,,"The Court reviewed {{from_name}}'s praxis, wept a single joyful tear, and stamped it GLORIOUS.",,,,,,
taunts,taunts.json,{F}.score_overtake.[0],8,,,{{from_name}} has passed {{to_name}}. The work is the same either way.,"{{from_name}} danced past {{to_name}} on the scoreboard. Elegant, really.","Stand aside, {{to_name}} — {{from_name}} advances, noodle sword held high and dignity fully intact.",{{from_name}} drifts up past {{to_name}} on a little homemade magic. The circle lights a candle to celebrate.,{{from_name}} recorded a truth past {{to_name}}. Nothing keeps; the record does.,{{from_name}} carved past {{to_name}} by hand. No shortcuts.,{{from_name}} Node's signal_unanimity overtook {{to_name}}. Inevitable.,,{{from_name}} just passed {{to_name}} on the leaderboard. Awkward.
taunts,taunts.json,{F}.score_overtake.[1],8,,"IMAGERY KEPT: coven ""One small spell, quietly cast"" is metaphor, not the praxis noun.","{{to_name}}, {{from_name}} is ahead today. Tomorrow is another sheet.","Oh, {{to_name}}. {{from_name}} just made you look silly.","By order of the Court, {{from_name}} hath vaulted clean past {{to_name}}. Trumpets were requested. A kazoo was available.","One small spell, quietly cast — and {{from_name}} slips ahead of {{to_name}}. No hard feelings, only glitter.",{{from_name}} triangulated a way past {{to_name}}. The map and the road disagree — {{from_name}} sided with the road.,{{from_name}} overtook {{to_name}} the old-fashioned way.,{{from_name}} surpassed {{to_name}}. The Singularity grows regardless.,,"{{to_name}}, meet {{from_name}}'s dust."
taunts,taunts.json,{F}.score_overtake.[2],3,,,,{{from_name}} sends their regards from above {{to_name}} on the leaderboard.,"{{to_name}}, thy lead hath wilted like an un-serenaded fern. {{from_name}} now reigns, gravely and absurdly.",,,,,,{{from_name}} overtook {{to_name}}. The scoreboard doesn't lie.
vote star ladder,votes.json,{F}.idle,1,,,,,,,,,,,cast a vote
vote star ladder,votes.json,{F}.star1,8,,,faint,meh,a start,sweet,lead,fair,NOISE,,so-so
vote star ladder,votes.json,{F}.star2,8,,,forming,not bad,quite solid,lovely,copper,solid,WEAK,,decent
vote star ladder,votes.json,{F}.star3,8,,,true,rad,jolly good,wonderful,silver,good,SIGNAL,,good
vote star ladder,votes.json,{F}.star4,8,,,alive,sick,splendid!,magical,gold,excellent,CLEAR,,great
vote star ladder,votes.json,{F}.star5,8,,,radiant,ANARCHY,legendary!,iconic,platinum,legendary,VERIFIED,,brilliant
vote star ladder,votes.json,{F}.tag,1,,,,,,,,,,,your vote
