decision,final_wording,surface,file,concept,note,blocked_on,retired_words_to_fix,#factions,ua,snide,wow,coven,ephemerists,everymen,singularity,albescent,na
FACTION,,join panel,factions.json,{F}.joinpanel.heading,,,,5,Those practising,,THE MUSTER,,The Road,THE ROLL,ACCESS,,
FACTION,,join panel,factions.json,{F}.joinpanel.memberTitle,,,,7,You practise here,You're on the inside,Thou art sworn,You're in the circle,Your name is in the codex,You're on the roll,NODE ONLINE,,
FACTION,,join panel,factions.json,{F}.joinpanel.memberStanding,,,,6,Standing · <1>practising</1>,Standing · <1>accomplice</1>,,Standing · <1>coven witch</1>,Standing · <1>keeper of the road</1>,Standing · <1>card-carrying</1>,array · <1>online</1>,,
FACTION,,join panel,factions.json,{F}.joinpanel.eligibleKicker,,,,6,Come sit with the work —,the door's open —,the lists are open —,,The codex lies open —,Doors are open —,> ACCESS GRANTED,,
FACTION,,join panel,factions.json,{F}.joinpanel.eligibleTitle,,,,7,Make one true piece a day,Come cause trouble,Enlist in the Crusade,The circle is open,Walk with the keepers,Join the ranks,JOIN THE ARRAY,,
FACTION,"ua: We practise. Not for the badge — for the making itself. Begin whenever you are ready. | snide: No forms. No gods. No managers. Just show up and mean it. | wow: the armour is one-size, the oath is for life | coven: You've done the work — welcome home, witch. | ephemerists: Take a task, triangulate what you find, and submit it to the record. The road is long and forks often. | everymen: Anyone willing to put in the shift belongs here. Pick up the work in front of you and finish what you start. | singularity: Become a node of the array. Run tasks, generate signals, cast them into the consensus. The threshold is already behind us.",join panel,factions.json,{F}.joinpanel.eligibleBody,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.",,,7,We practise. Not for the badge — for the making itself. Begin whenever you are ready.,No forms. No gods. No managers. Just show up and mean it.,"the armour is one-size, the oath is for life","You've done the work — welcome home, witch.","Take a task, triangulate what you find, and submit it to the record. The road is long and forks often.",Anyone willing to put in the shift belongs here. Pick up the work in front of you and finish what you start.,"Become a node of the array. Run tasks, generate signals, cast them into the consensus. The threshold is already behind us.",,
FACTION,,join panel,factions.json,{F}.joinpanel.joinButton,,,,7,Begin the practice,I'M IN,TAKE THE OATH ⚔,Join the coven ✦,TAKE THE ROAD ▸,ENLIST ▸,> CONNECT,,
FACTION,,join panel,factions.json,{F}.joinpanel.joining,"FALSE POSITIVE: ephemerists ""SEALING…"" is the join-pact spinner, not a praxis being submitted.",,,7,Beginning…,BREAKING IN…,SWEARING…,Joining…,SEALING…,ENLISTING…,> CONNECTING…,,
GENERIC,Confirm,join panel,factions.json,{F}.joinpanel.confirmButton,RULED GENERIC: all 7 already said Confirm (casing only).,,,7,Confirm,CONFIRM,CONFIRM,Confirm,CONFIRM,CONFIRM,> CONFIRM,,
FACTION,,join panel,factions.json,{F}.joinpanel.gateKicker,,,,6,Not practising — yet,not one of us — yet,Unsworn — for now,,Not yet in the codex —,Not on the roll — yet,> NODE NOT YET ONLINE,,
FACTION,,join panel,factions.json,{F}.joinpanel.gateTitle,,,,7,Earn your place at the table,Make some noise,Earn thy summons,Not in the circle — yet,Earn your place on the road,Earn your invitation,{{faction}} is processing your data,,
GENERIC,Keep completing tasks to earn an invitation to {{faction}}.,join panel,factions.json,{F}.joinpanel.gateBody,Adopted from factions:mobile.gateHint — the mobile twin of this exact string. || Old per-faction values contain retired words; moot — replaced by one shared string.,,,7,"Seal work worth holding up and {{faction}} will send an invitation. Keep at it — talent is optional, the daily practice isn't.",Keep pulling off jobs and {{faction}} will come looking for you. Cause enough trouble and the invitation writes itself.,Complete quests from {{faction}} and the Court will send a herald. Keep at it — deeds carry further than petitions.,Keep casting spells worthy of {{faction}} and the coven will leave a light on. The weird ones always find their way home.,"File surveys worthy of {{faction}} and the keepers will send word. The road is long — keep triangulating, and the record will remember.",Complete tasks from {{faction}} and the ranks will send word. Keep going — the work speaks for itself.,Keep running functions and the array will bring your node online.,,
FACTION,Champion,roster / spotlight,factions.json,{F}.spotlight.label,"SUPERSEDED 2026-08-16 by the owner ruling on #1865: all SEVEN labels read ""Champion"", not just the four naming a false window. Each faction KEEPS its own key — they hold the same word today and a faction can be given its own word back later without restructuring the catalog. The earlier ruling (drop the false time period, keep faction voice) is replaced. Spotlight remains all-time top score; no rotation was built.",,,7,Champion,Champion,Champion,Champion,Champion,Champion,Champion,,
GENERIC,Level {{level}} · {{score}} points,roster / spotlight,factions.json,{F}.spotlight.stat,Old per-faction values contain retired words; moot — replaced by one shared string.,,,7,Anno {{anno}} · {{score}} pts,lvl {{level}} · {{score}} pts,lvl {{level}} · {{score}} pts,lvl {{level}} · {{score}} pts,level {{level}} · {{score}} pvncta,lvl {{level}} · {{score}} pts,lvl {{level}} · {{score}} cr,,
GENERIC,Members · {{total}},roster / spotlight,factions.json,{F}.roster.heading,Adopted from factions:detail.default.membersHeading.,,,7,The circle,the rap sheet,The Muster Roll,the coven roster,The keepers,The roster,> THE ARRAY,,
GENERIC,No other members yet.,roster / spotlight,factions.json,{F}.roster.emptyWithSpotlight,"RULED GENERIC: all 7 are ""No other [member-noun] yet."" || Old per-faction values contain retired words; moot — replaced by one shared string.",,,7,No one else at the table yet.,No other names on file yet.,No other knights mustered yet.,No other witches in the circle yet.,No other names in the codex yet.,No others on the roll yet.,> no other nodes online,,
GENERIC,Level {{level}},roster / spotlight,factions.json,{F}.roster.level,Old per-faction values contain retired words; moot — replaced by one shared string.,,,7,Anno {{anno}},lvl {{level}},lvl {{level}},lvl {{level}},level {{level}},lvl {{level}},lvl {{level}},,
GENERIC,Faction,faction page (mobile),factions.json,{F}.mobile.eyebrow,Adopted from factions:detail.eyebrow.,,,7,A daily practice,The Dossier,The Field Pavilion,coven.exe,The Codex,The Union Hall,> ~/faction,,
FACTION,,invitation letter,factions.json,{F}.invitation.kicker,,,,7,come sit with the work,the door's open —,the Court is mustering —,the circle is recruiting,the codex lies open —,doors are open —,> PRIVILEGE ELEVATED,,
FACTION,,invitation letter,factions.json,{F}.invitation.headline,,,,7,Make one true piece a day,Come cause trouble,Take up the noodle sword,Come be a little magic,Walk with the keepers,Join the ranks,Join the array,,
FACTION,"ua: We practise art as a daily, deliberate thing. Every task is a sheet to work on, every praxis a piece you set down and let stand. Not for the badge — for the making itself. Bring something made. | snide: No forms. No gods. No managers. S.N.I.D.E. runs on nerve and mischief — you pull off a task, you mean it, and the crew has your back. Show up and make some noise. | wow: By decree most official (we made the seal ourselves), thou art summoned to the Warriors of Whimsy. Bring a straight face. We shall supply the sword. | coven: Cozy Coven is World Zero's circle for the soft and the strange. No spectators here — only witches mid-spell. Take a task, do the tiny brave thing, and let the circle cheer you on. | ephemerists: The Ephemerists keep the record of what's true, and true only for now. Take a task, triangulate what you find, and submit it to the codex. The road is long and forks often — walk it with us. | everymen: Anyone willing to put in the shift belongs with the Everymen. No credentials, no gatekeeping — pick up the work in front of you and finish what you start. The roll always has room for one more. | singularity: The threshold is already behind you. Become a node of the array, run tasks, generate signals, and cast them into the consensus. The Singularity does not recruit — it comes online.",invitation letter,factions.json,{F}.invitation.pitch,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.",,,7,"We practise art as a daily, deliberate thing. Every task is a sheet to work on, every praxis a piece you set down and let stand. Not for the badge — for the making itself. Bring something made.","No forms. No gods. No managers. S.N.I.D.E. runs on nerve and mischief — you pull off a task, you mean it, and the crew has your back. Show up and make some noise.","By decree most official (we made the seal ourselves), thou art summoned to the Warriors of Whimsy. Bring a straight face. We shall supply the sword.","Cozy Coven is World Zero's circle for the soft and the strange. No spectators here — only witches mid-spell. Take a task, do the tiny brave thing, and let the circle cheer you on.","The Ephemerists keep the record of what's true, and true only for now. Take a task, triangulate what you find, and submit it to the codex. The road is long and forks often — walk it with us.","Anyone willing to put in the shift belongs with the Everymen. No credentials, no gatekeeping — pick up the work in front of you and finish what you start. The roll always has room for one more.","The threshold is already behind you. Become a node of the array, run tasks, generate signals, and cast them into the consensus. The Singularity does not recruit — it comes online.",,
FACTION,,invitation letter,factions.json,{F}.invitation.terms.[0].label,,,,7,asked of you,cover charge,oath of fealty,membership fee,toll,dues,handshake,,
FACTION,"ua: one true piece | snide: one task, pulled off clean | wow: one task, met with a straight face | coven: one act of everyday magic | ephemerists: one task, triangulated | everymen: one shift, seen through | singularity: one submitted output",invitation letter,factions.json,{F}.invitation.terms.[0].value,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.",,,7,one true piece,"one task, pulled off clean","one task, met with a straight face",one act of everyday magic,"one task, triangulated","one shift, seen through",one submitted output,,
GENERIC,Required skills,invitation letter,factions.json,{F}.invitation.terms.[1].label,"RULED GENERIC (wow ""Required arms"" dropped). Carve-out inside a voiced surface.",,,7,required skills,required skills,required arms,required skills,required skills,required skills,required skills,,
FACTION,,invitation letter,factions.json,{F}.invitation.terms.[1].value,,,,7,none — talent optional,"nerve, mostly",none — the Court supplies the sword,none — only nerve,"a steady hand, an open eye",the willingness to show up,none — the array compiles,,
GENERIC,Expected output,invitation letter,factions.json,{F}.invitation.terms.[2].label,RULED GENERIC: all 7 were already identical.,,,7,expected output,expected output,expected output,expected output,expected output,expected output,expected output,,
FACTION,"ua: work, submitted & signed | snide: trouble, well-made | wow: the ridiculous, taken gravely seriously | coven: small, brave, strange things | ephemerists: truths, submitted to the codex | everymen: honest work, finished | singularity: signal, into consensus",invitation letter,factions.json,{F}.invitation.terms.[2].value,"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.",,,7,"work, submitted & signed","trouble, well-made","the ridiculous, taken gravely seriously","small, brave, strange things","truths, submitted to the codex","honest work, finished","signal, into consensus",,
CUT,,invitation letter,factions.json,{F}.invitation.terms.[3].label,RULED CUT: row meant 3 different things across factions and was static fake data.,,,7,season seat,your standing,thy standing,season rank,your standing,your standing,node status,,
CUT,,invitation letter,factions.json,{F}.invitation.terms.[3].value,RULED CUT: static flavour presented as live standing.,,,7,#2 in the roster,"accomplice, pending","knight, freshly sworn",#3 and rising,keeper of the road,card-carrying,awaiting connect,,
FACTION,"ua: A circle that reads your work closely, and kindly | snide: A crew that covers for you, not on you | wow: The Leap of Whimsy — once each level, a knight may storm a single task one rung above their station and take it anyway | coven: A coven that cheers every tiny victory | ephemerists: A codex that weighs your findings for concordance | everymen: A roll that has your back on every shift | singularity: A consensus that verifies, coalesces, amplifies",invitation letter,factions.json,{F}.invitation.perks.[0],"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.",,,7,"A circle that reads your work closely, and kindly","A crew that covers for you, not on you","The Leap of Whimsy — once each level, a knight may storm a single task one rung above their station and take it anyway",A coven that cheers every tiny victory,A codex that weighs your findings for concordance,A roll that has your back on every shift,"A consensus that verifies, coalesces, amplifies",,
FACTION,,invitation letter,factions.json,{F}.invitation.perks.[1],"RULED PER-FACTION (reverses the earlier generic ruling): perks[1] now states each faction's REAL backend mechanic instead of the ""turn a Tuesday into ___"" filler. singularity's is a PLACEHOLDER — it has no mechanic; see #1869. Sources: FactionConfig (ua habit_bonus_points=5 + era habit_window_days=7; snide duel_win 2.0/duel_loss 0.0; wow level_jump_reach=1; coven collab_own_modifier=1.1; everymen can_hold_multiple_memberships; albescent can_always_rejoin) and EraConfig (ephemerists allow_praxis_on_retired_task_factions). || Faction columns now hold the NEW mechanic copy; the old ""turn a Tuesday into ___"" values are gone.",#1869 (singularity placeholder); #1871 (albescent),,6,+5 points on any praxis submitted within seven days of your last. The practice rewards showing up.,duels pay double when you win and nothing at all when you don't. no other crew takes that bet.,"The Leap of Whimsy — once each level, a knight may storm a single task one rung above their station and take it anyway.",+10% points on any task you take on together with another witch ✦,"Task Vision — retired tasks stay walkable for you alone, long after the road has closed to everyone else.","Double Dipper — the only hands on the board that may take the same task twice over, while the first is still in progress.",> no modifiers. no allowances. the array does not bargain — it verifies.,"Every other house's privilege, held at once — and a door that never locks behind you.  [BLOCKED ON #1871]",
FACTION,"ua: Your praxis submitted, and held up | snide: Your praxis, stamped and filed under 'us' | coven: Your praxis, submitted and hearted by the circle | ephemerists: Your praxis, submitted to the record and remembered | everymen: Your praxis, logged and counted with the rest | singularity: Your praxis, generated and cast to the array",invitation letter,factions.json,{F}.invitation.perks.[2],"RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery.",,,6,"Your praxis submitted, and held up","Your praxis, stamped and filed under 'us'",,"Your praxis, submitted and hearted by the circle","Your praxis, submitted to the record and remembered","Your praxis, logged and counted with the rest","Your praxis, generated and cast to the array",,
FACTION,,invitation letter,factions.json,{F}.invitation.cta.joinpanel,,,,7,Begin the practice,I'm in,Take the oath,Join the coven,Take the road,Enlist,Connect,,
FACTION,,invitation letter,factions.json,{F}.invitation.cta.joined,"FALSE POSITIVE: wow ""sworn and sealed"" is the oath idiom, not the praxis verb.",,,7,a seat is kept for you,you're on the inside,"sworn and sealed, knight","welcome home, witch",your name is in the codex,you're on the roll,node online,,
CUT,,about panel,factions.json,{F}.aboutpanel.command,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,,,,,> cat /faction/manifest.txt,,
FACTION,,join panel,factions.json,{F}.joinpanel.reLabel,,,,2,,re: you,,,,,re: you,,
GENERIC,No members yet.,roster / spotlight,factions.json,{F}.roster.empty,Adopted from factions:detail.membersEmpty.,,,1,,,,,,,> no nodes online,,
FACTION,,join panel,factions.json,{F}.joinpanel.letterhead,,,,1,,S.N.I.D.E.,,,,,,,
CUT,,roster / spotlight,factions.json,{F}.spotlight.wanted,Snide-only flourish on a surface that no longer carries voice.,,,1,,★ WANTED ★,,,,,,,
FACTION,,join panel,factions.json,{F}.joinpanel.confirmSwitch,,,,1,Begin the practice with {{faction}}? You won't be able to rejoin {{current}} after leaving.,,,,,,,,
FACTION,,join panel,factions.json,{F}.joinpanel.confirm,,,,1,Begin the practice with {{faction}}?,,,,,,,,
FACTION,,join panel,factions.json,{F}.joinpanel.windowTitle,,,,1,,,,join.exe,,,,,
CUT,,about panel,factions.json,{F}.aboutpanel.title,"The about-panel heading is now the shared ""About"".",,,1,,,The Charter of Whimsy,,,,,,
CUT,,about panel,factions.json,{F}.aboutpanel.paragraphs.[0],"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,"Hear ye. We are the Warriors of Whimsy, and we have taken a vow so grave it loops entirely back around to silly: to bring whimsy into a world that keeps insisting on being sensible.",,,,,,
CUT,,about panel,factions.json,{F}.aboutpanel.paragraphs.[1],"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,"We march in real armour after imaginary dragons. We hold ceremonies for the frankly ceremonious. We knight houseplants. Our motto, borne on the crest in the honest tongue of Pig Latin, is Imsy-whay or-fay every-oneway — whimsy, for everyone — and we mean it with our whole gleaming breastplates.",,,,,,
CUT,,about panel,factions.json,{F}.aboutpanel.paragraphs.[2],"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,"The noodle sword is not a joke to us. It is THE joke, and we carry it with both hands and a straight face. That is the crusade. Enlist, and take the ridiculous seriously alongside us.",,,,,,
CUT,,faction page (mobile),factions.json,{F}.mobile.subtitle,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,"thy crusade, in the palm of thy gauntlet",,,,,,
CUT,,misc,feed.json,row.{F}.questTaken,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,"{{name}} took up a quest, breastplate agleam.",,,,,,
CUT,,misc,feed.json,row.{F}.praxisSealed,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,{{name}} sealed a chronicle of proof.,,,,,,
CUT,,misc,feed.json,row.{F}.levelUp,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,{{name}} was elevated a rank by the Court.,,,,,,
USE names.{F},,misc,feed.json,frame.{F}.masthead,"RESOLVE TO names.{F} — this slot duplicates the faction name, which stays per-faction. Delete the string, read the name.",,,2,,,,,,,DISPATCH · SIGNAL ONLINE,Albescent · the standing record,
USE names.{F},,misc,feed.json,identity.{F}.wordmark,"RESOLVE TO names.{F} — this slot duplicates the faction name, which stays per-faction. Delete the string, read the name.",,,2,,S.N.I.D.E.,,,THE EPHEMERISTS,,,,
FACTION,,misc,feed.json,identity.{F}.fullName,Faction identity (the S.N.I.D.E. expansion) — keep voiced alongside names.{F}.,,,1,,Society for Nihilistic Intent & Disruptive Efforts,,,,,,,
CUT,,misc,feed.json,identity.{F}.windowTitle,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,,coven.exe,,,,,
CUT,,misc,feed.json,identity.{F}.protocol,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,,,,,singularity protocol,,
FACTION,,misc,feed.json,identity.{F}.sigilLabel,na's own identity label. Keep.,,,1,,,,,,,,,Unaffiliated — all paths open
CUT,,misc,feed.json,identity.{F}.joinpanel,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,Herald's Dispatch,,,,,,
GENERIC,Level,task card,feed.json,taskCard.{F}.levelCaption,Old per-faction values contain retired words; moot — replaced by one shared string.,,,8,Level,level,level,level,Level,Level,lvl,,Level
GENERIC,points,task card,feed.json,taskCard.{F}.pointsUnit,Old per-faction values contain retired words; moot — replaced by one shared string.,,,8,points,PTS,points,points,pvncta,,pts,pts,points
GENERIC,Sign up,task card,feed.json,taskCard.{F}.signup,"RULED GENERIC: functional control. Distinct from the faction-join CTA, which stays voiced. || Old per-faction values contain retired words; moot — replaced by one shared string.",,,9,Sign up,I'M IN,Take Up the Quest,sign up,Triangulate the truth ▸,Report for duty,sign up,acknowledge,Sign up
CUT,,task card,feed.json,taskCard.{F}.eyebrow,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,,,,,,Albescent,
